,word,year,count,language,Rank
7284,amplitude,1949,52805,english,4355.0
9761,amputation,1812,5056,french,2757.0
9760,amputation,1820,1007,german,2743.0
729,amsterdam,1800,2357,french,4899.0
725,amsterdam,1801,3209,english,4261.0
727,amsterdam,1806,416,italian,4099.0
726,amsterdam,1806,466,spanish,4637.0
728,amsterdam,1807,388,german,3839.0
7485,anal,1931,6371,spanish,4258.0
7484,anal,1959,61128,english,4624.0
9521,analogie,1800,10322,french,1081.0
9520,analogie,1800,329,german,3268.0
9305,analyse,1800,17529,french,552.0
9304,analyse,1802,432,german,4206.0
8055,analyses,1812,3078,french,4411.0
8054,analyses,1915,37118,english,4404.0
1650,analysis,1800,2710,english,3558.0
1652,analysis,1805,428,german,4377.0
1651,analysis,1967,13324,italian,4428.0
1653,analysis,1981,15944,french,4993.0
9855,anarchie,1800,3378,french,3561.0
9854,anarchie,1832,1229,german,4770.0
11829,anatomica,1800,266,italian,3018.0
11828,anatomica,1829,1276,spanish,3901.0
9359,anatomie,1800,5565,french,2215.0
9358,anatomie,1801,298,german,4653.0
9042,anch,1800,460,italian,1623.0
9043,anch,1801,316,german,4396.0
12001,andando,1800,228,italian,3520.0
12000,andando,1875,2518,spanish,4729.0
6341,andar,1800,458,italian,1634.0
6340,andar,1800,1818,spanish,1856.0
11665,andrea,1800,956,italian,612.0
11664,andrea,1830,976,spanish,4395.0
10665,andres,1800,215,german,4875.0
10664,andres,1804,594,spanish,4301.0
10496,andronico,1805,2362,spanish,1587.0
10497,andronico,1831,2150,italian,1484.0
6833,ane,1809,4840,french,3283.0
6832,ane,1814,18433,english,1216.0
6680,anecdote,1804,3058,english,4761.0
6681,anecdote,1813,3445,french,3562.0
7134,anecdotes,1806,4183,english,3782.0
7135,anecdotes,1812,2849,french,4731.0
7319,anemia,1929,3398,italian,4763.0
7318,anemia,1943,24351,english,4984.0
8864,anestesia,1925,4914,spanish,4985.0
8865,anestesia,1932,5264,italian,3178.0
12457,aneurisma,1813,392,italian,4885.0
12456,aneurisma,1820,1328,spanish,2822.0
9572,ange,1800,454,german,2384.0
9573,ange,1803,4663,french,3772.0
13574,angel,1800,3660,english,2731.0
13575,angel,1800,1228,spanish,2773.0
8077,angeles,1800,2910,spanish,1051.0
8076,angeles,1912,39675,english,4732.0
7187,angelo,1800,698,italian,982.0
7186,angelo,1806,3142,english,4725.0
3948,angina,1805,492,italian,3115.0
3949,angina,1809,333,german,4442.0
3947,angina,1817,440,spanish,4149.0
13605,angle,1800,13893,french,724.0
13604,angle,1800,2863,english,3389.0
13997,angles,1800,10101,french,1100.0
13996,angles,1801,3482,english,4003.0
1310,anglo,1800,1936,english,4674.0
1311,anglo,1833,716,spanish,4842.0
1313,anglo,1898,14061,french,4660.0
1312,anglo,1906,4782,italian,4597.0
9665,angola,1966,17770,french,4764.0
9664,angola,1976,15108,german,4831.0
8795,angustia,1805,360,italian,4294.0
8794,angustia,1926,5492,spanish,4595.0
5504,anima,1800,7738,spanish,231.0
5505,anima,1800,1097,italian,509.0
2395,animal,1800,10508,spanish,137.0
2397,animal,1800,31360,french,224.0
2394,animal,1800,18302,english,350.0
2396,animal,1802,448,italian,2932.0
9282,animale,1800,2140,italian,154.0
9283,animale,1800,6505,french,1873.0
5474,animales,1800,16364,spanish,56.0
5475,animales,1800,3536,french,3427.0
8719,animaux,1800,56260,french,70.0
8718,animaux,1800,208,italian,3885.0
6283,animo,1800,2282,italian,139.0
6282,animo,1800,1986,spanish,1683.0
4423,anjou,1806,3144,french,3849.0
4421,anjou,1808,3565,english,4473.0
4422,anjou,1819,704,spanish,3194.0
871,ann,1801,970,spanish,2762.0
870,ann,1802,3722,english,3489.0
872,ann,1802,330,italian,4051.0
874,ann,1809,4950,french,3217.0
873,ann,1829,2609,german,1906.0
1480,anna,1801,152,italian,2620.0
1481,anna,1805,400,german,4647.0
1478,anna,1827,6883,english,4726.0
1479,anna,1842,1450,spanish,4636.0
3161,anne,1800,4350,english,2287.0
3163,anne,1804,3305,french,4334.0
3162,anne,2008,41880,german,4585.0
9601,annexion,1915,7647,french,3395.0
9600,annexion,1930,13351,german,3127.0
8545,année,1800,39468,french,150.0
8544,année,1810,784,italian,1819.0
5595,ano,1800,447,italian,1701.0
5594,ano,1800,1156,spanish,2962.0
7443,anode,1895,7885,german,3372.0
7442,anode,1943,25612,english,4795.0
4317,anomalie,1814,263,german,4966.0
4318,anomalie,1832,5840,french,4552.0
4316,anomalie,1891,3415,italian,4186.0
1749,ans,1800,64996,french,50.0
1748,ans,1800,1822,german,406.0
1747,ans,1810,490,italian,3062.0
1746,ans,1820,818,spanish,4447.0
11929,anselmo,1834,1038,italian,4606.0
11928,anselmo,1860,2299,spanish,4994.0
5856,ansia,1800,1050,spanish,3240.0
5857,ansia,1945,2252,italian,4616.0
4534,ant,1802,722,italian,1722.0
4532,ant,1814,5116,english,4146.0
4533,ant,1897,4356,spanish,3208.0
5624,antecedente,1800,1316,spanish,2579.0
5625,antecedente,1800,294,italian,2723.0
11176,anteriormente,1800,762,spanish,4404.0
11177,anteriormente,1807,468,italian,3307.0
9406,anthropologie,1807,489,german,3036.0
9407,anthropologie,1879,10514,french,4957.0
689,anti,1801,3990,french,4288.0
686,anti,1803,600,spanish,4909.0
688,anti,1816,750,german,2635.0
685,anti,1835,10687,english,4354.0
687,anti,1939,4172,italian,4946.0
9972,antigone,1824,1772,italian,2963.0
9973,antigone,1826,861,german,4660.0
6777,antigua,1800,4780,spanish,504.0
6776,antigua,1805,4212,english,3661.0
11373,antimonio,1800,210,italian,3847.0
11372,antimonio,1802,880,spanish,3689.0
2567,antiochus,1804,3014,english,4800.0
2569,antiochus,1811,5199,french,2657.0
2568,antiochus,1822,760,german,4206.0
7237,antique,1800,4115,french,2959.0
7236,antique,1819,4364,english,4940.0
10361,anton,1802,3192,german,369.0
10360,anton,1831,882,italian,4044.0
11816,antonelli,1829,2120,spanish,2342.0
11817,antonelli,1851,2088,italian,4453.0
11649,antonino,1808,442,italian,4651.0
11648,antonino,1832,1360,spanish,2738.0
652,antonio,1800,1618,italian,279.0
651,antonio,1800,3495,spanish,819.0
653,antonio,1823,896,german,3073.0
650,antonio,1828,8186,english,4267.0
654,antonio,2000,30326,french,4873.0
5051,ao,1801,608,spanish,4412.0
5053,ao,1801,311,german,4469.0
5052,ao,1802,606,italian,2119.0
4715,aorta,1800,1380,spanish,2454.0
4716,aorta,1807,338,italian,4556.0
4717,aorta,1808,585,german,3085.0
10037,août,1800,9300,french,1241.0
10036,août,1810,396,italian,3902.0
2742,ap,1800,186,italian,4352.0
2741,ap,1800,2073,english,4421.0
2743,ap,1803,3518,french,4806.0
12337,apertura,1800,504,italian,1463.0
12336,apertura,1810,118,spanish,4848.0
7360,aperture,1803,3876,english,3600.0
7361,aperture,1828,856,italian,3992.0
4453,apollo,1805,548,german,3445.0
4452,apollo,1807,388,italian,4011.0
4451,apollo,1808,3278,english,4776.0
9729,apollon,1804,4490,french,3285.0
9728,apollon,1861,4240,german,4884.0
9635,apollonius,1807,3532,french,3987.0
9634,apollonius,1876,4005,german,4763.0
12492,apologia,1818,538,spanish,4501.0
12493,apologia,1853,1652,italian,4437.0
10924,aponevrose,1806,488,spanish,4420.0
10925,aponevrose,1810,465,german,3811.0
11739,apostolica,1801,410,italian,812.0
11738,apostolica,1824,357,spanish,4855.0
7805,app,1876,4388,italian,2622.0
7804,app,1905,44037,english,4088.0
13252,apparent,1800,5756,english,1661.0
13253,apparent,1800,2868,french,4146.0
9091,apparente,1800,4020,french,3037.0
9090,apparente,1800,242,italian,3327.0
10425,appel,1800,4094,french,2979.0
10424,appel,1851,2044,italian,4555.0
5135,appellation,1800,3194,english,3102.0
5136,appellation,1800,211,german,4958.0
5137,appellation,1935,10262,french,4511.0
8320,appendice,1800,162,italian,4986.0
8321,appendice,1800,2306,french,4996.0
13306,applicable,1800,2550,english,3746.0
13307,applicable,1801,3348,french,4994.0
13001,application,1800,11234,french,956.0
13000,application,1800,8827,english,1035.0
8019,applications,1800,2974,french,4000.0
8018,applications,1803,2740,english,4754.0
13168,approbation,1800,4583,english,2140.0
13169,approbation,1800,2623,french,4444.0
6678,appropriation,1880,21506,english,4731.0
6679,appropriation,1992,20637,french,4784.0
7353,approximation,1953,9349,french,4717.0
7352,approximation,1955,47578,english,4944.0
13823,april,1800,1024,german,917.0
13822,april,1800,6910,english,1372.0
